,species,mean_ripeness,sd_ripeness,formatted_ripeness_date
0,Rubus occidentalis,186.2,9.4,07-05
1,Ficus carica,206.8,13.1,07-25
2,Olea europaea,197.9,15.5,07-16
3,Olea europea,300.5,11.8,10-27
4,Morus rubra,185.6,8.7,07-04
5,Morus alba,184.3,6.3,07-03
6,Morus nigra,185.8,8.8,07-04
7,Amelanchier alnifolia,209.4,11.0,07-28
8,Amelanchier arborea,172.7,14.2,06-21
9,Amelanchier canadensis,202.2,15.0,07-21
10,Amelanchier grandiflora-autumnbrilliance,183.0,0.0,07-02
11,Amelanchier laevis,176.0,12.7,06-25
12,Citrus x limon,183.9,5.3,07-02
13,Citrus x meyeri,206.2,13.4,07-25
14,Rubus idaeus,214.0,0.0,08-02
15,Rubus phoenicolasius,183.0,0.0,07-02
16,Citrus x aurantium,158.0,11.2,06-07
17,Citrus x sinensis,187.8,11.2,07-06
18,Prunus americana,228.1,15.4,08-16
19,Prunus domestica,244.7,3.1,09-01
20,Prunus maritima,245.0,0.0,09-02
21,Prunus domestica (early cultivar),244.1,5.1,09-01
22,Prunus domestica (late cultivar),241.7,9.6,08-29
23,Prunus domestica (Pozegaca),224.3,14.6,08-12
24,Prunus domestica (Besztercei),233.4,15.0,08-21
25,Prunus domestica subsp. insititia,245.0,0.0,09-02
26,Prunus cerasifera,185.8,8.8,07-04
27,Prunus cerasifera 'Atropurpurea',252.5,13.0,09-09
28,Prunus domestica 'Mirabelle',214.0,0.0,08-02
29,Prunus domestica subsp. domestica 'Italian',245.0,0.0,09-02
30,Prunus domestica subsp. syriaca,211.3,8.8,07-30
31,Prunus domestica subsp. domestica,183.0,0.0,07-02
32,Eriobotrya japonica,155.4,8.2,06-04
33,Eriobotrya japonica 'Bradenton',107.0,15.0,04-17
34,Malus sieboldii,253.6,13.6,09-10
35,Malus spp.,269.1,12.0,09-26
36,Malus pumila,245.0,0.0,09-02
37,Malus domestica,250.9,11.9,09-07
38,Malus domestica 'early cultivar',214.0,0.6,08-01
39,Malus domestica 'late cultivar',275.0,0.8,10-01
40,Malus domestica 'Golden delicius',247.5,8.3,09-04
41,Malus domestica 'Jonathan',249.0,10.2,09-06
42,Malus domestica 'Gravensteiner',245.0,0.0,09-02
43,Malus domestica 'Kronprinz',275.0,0.0,10-02
44,Malus pumila 'Granny Smith',214.0,0.0,08-02
45,Malus pumila 'Astrakan',251.0,12.0,09-08
46,Malus sylvestris,245.0,0.0,09-02
47,Malus pumila 'Gala',245.0,0.0,09-02
48,Malus 'Adirondack',214.0,0.0,08-02
49,Rosmarinus officinalis,168.5,15.0,06-17
50,Juglans nigra,273.8,5.8,09-30
51,Juglans regia,252.5,13.0,09-09
52,Prunus serotina,212.2,7.3,07-31
53,Prunus virginiana,221.5,13.3,08-09
54,Prunus yedoensis,153.0,0.0,06-02
55,Prunus ilicifolia,184.0,5.5,07-03
56,Prunus cerasus,170.1,14.8,06-19
57,Prunus emarginata,245.8,4.9,09-02
58,Prunus pensylvanica,212.7,6.2,07-31
59,Prunus laurocerasus,225.6,15.0,08-13
60,Prunus avium 'Early cultivar',168.8,15.0,06-17
61,Prunus avium 'Hedelfinger',155.5,8.3,06-04
62,Prunus avium 'Late cultivar',181.0,7.6,06-29
63,Prunus avium,175.4,13.1,06-24
64,Prunus avium 'late cultivar',179.9,9.1,06-28
65,Cornus mas,245.0,0.0,09-02
66,Diospyros virginiana,275.0,0.0,10-02
67,Diospyros kaki,267.5,13.0,09-24
68,Diospyros kaki 'Fuyu',306.0,0.0,11-02
69,Pyrus communis,247.1,7.7,09-04
70,Pyrus communis 'Early cultivar',245.0,0.0,09-02
71,Pyrus communis 'Late cultivar',273.8,5.8,09-30
72,Pyrus communis 'Williams',270.0,11.2,09-27
73,Pyrus communis 'Bartlett',245.0,0.0,09-02
74,Pyrus pyrifolia,245.0,0.0,09-02
